Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h)
1950,1,1,-16.7,-22.2,-19.5,37.5,0,0,0.3,0.3,NaN,NaN,NaN
1950,1,2,-21.7,-23.3,-22.5,40.5,0,0,6.4,6.4,NaN,NaN,NaN
1950,1,3,-27.2,-31.1,-29.2,47.2,0,0,0,0,NaN,NaN,NaN
1950,1,4,-25.6,-33.9,-29.8,47.8,0,0,0,0,NaN,NaN,NaN
1950,1,5,-22.8,-30,-26.4,44.4,0,0,0.3,0.3,NaN,NaN,NaN
1950,1,6,-27.8,-35.6,-31.7,49.7,0,0,0,0,NaN,NaN,NaN
1950,1,7,-17.8,-37.8,-27.8,45.8,0,0,0,0,NaN,NaN,NaN
1950,1,8,-18.3,-23.9,-21.1,39.1,0,0,0,0,NaN,NaN,NaN
1950,1,9,-17.8,-23.3,-20.6,38.6,0,0,5.3,5.3,NaN,NaN,NaN
1950,1,10,-21.1,-26.1,-23.6,41.6,0,0,0,0,NaN,NaN,NaN
1950,1,11,-11.7,-30,-20.9,38.9,0,0,0,0,NaN,NaN,NaN
1950,1,12,-20,-26.7,-23.4,41.4,0,0,0.3,0.3,NaN,NaN,NaN
1950,1,13,-22.2,-31.1,-26.7,44.7,0,0,4.3,4.3,NaN,NaN,NaN
1950,1,14,-23.3,-29.4,-26.4,44.4,0,0,1.5,1.5,NaN,NaN,NaN
1950,1,15,-24.4,-27.8,-26.1,44.1,0,0,1,1,NaN,NaN,NaN
1950,1,16,-26.1,-31.7,-28.9,46.9,0,0,0,0,NaN,NaN,NaN
1950,1,17,-26.7,-34.4,-30.6,48.6,0,0,0.3,0.3,NaN,NaN,NaN
1950,1,18,-26.1,-37.8,-32,50,0,0,0,0,NaN,NaN,NaN
1950,1,19,-23.3,-35.6,-29.5,47.5,0,0,0,0,NaN,NaN,NaN
1950,1,20,-19.4,-28.9,-24.2,42.2,0,0,3.3,3.3,NaN,NaN,NaN
1950,1,21,-13.3,-22.2,-17.8,35.8,0,0,0.8,0.8,NaN,NaN,NaN
1950,1,22,-20,-26.1,-23.1,41.1,0,0,0,0,NaN,NaN,NaN
1950,1,23,-17.8,-30.6,-24.2,42.2,0,0,13.5,13.5,NaN,NaN,NaN
1950,1,24,-16.7,-28.9,-22.8,40.8,0,0,7.6,7.6,NaN,NaN,NaN
1950,1,25,-27.8,-35,-31.4,49.4,0,0,0.5,0.5,NaN,NaN,NaN
1950,1,26,-30,-36.7,-33.4,51.4,0,0,0,0,NaN,NaN,NaN
1950,1,27,-23.9,-37.2,-30.6,48.6,0,0,0.5,0.5,NaN,NaN,NaN
1950,1,28,-22.2,-32.8,-27.5,45.5,0,0,0.5,0.5,NaN,NaN,NaN
1950,1,29,-30.6,-36.1,-33.4,51.4,0,0,0,0,NaN,NaN,NaN
1950,1,30,-26.1,-40,-33.1,51.1,0,0,0.3,0.3,NaN,NaN,NaN
1950,1,31,-22.8,-32.8,-27.8,45.8,0,0,0,0,NaN,NaN,NaN
1950,2,1,-15.6,-33.9,-24.8,42.8,0,0,0,0,NaN,NaN,NaN
1950,2,2,-15,-26.1,-20.6,38.6,0,0,0,0,NaN,NaN,NaN
1950,2,3,-5.6,-20.6,-13.1,31.1,0,0,0,0,NaN,NaN,NaN
1950,2,4,-8.9,-23.3,-16.1,34.1,0,0,0,0,NaN,NaN,NaN
1950,2,5,-12.2,-19.4,-15.8,33.8,0,0,0,0,NaN,NaN,NaN
1950,2,6,-5,-21.1,-13.1,31.1,0,0,0,0,NaN,NaN,NaN
1950,2,7,0,-17.8,-8.9,26.9,0,0.5,0.5,1,NaN,NaN,NaN
1950,2,8,-7.8,-16.7,-12.3,30.3,0,0,0,0,NaN,NaN,NaN
1950,2,9,-10,-19.4,-14.7,32.7,0,0,1.8,1.8,NaN,NaN,NaN
1950,2,10,-17.2,-22.8,-20,38,0,0,0,0,NaN,NaN,NaN
1950,2,11,-17.2,-29.4,-23.3,41.3,0,0,0,0,NaN,NaN,NaN
1950,2,12,-10,-23.9,-17,35,0,0,0,0,NaN,NaN,NaN
1950,2,13,-7.8,-15.6,-11.7,29.7,0,0,0,0,NaN,NaN,NaN
1950,2,14,-6.1,-20,-13.1,31.1,0,0,0,0,NaN,NaN,NaN
1950,2,15,-10.6,-23.9,-17.3,35.3,0,0,0,0,NaN,NaN,NaN
1950,2,16,-4.4,-22.2,-13.3,31.3,0,0,0,0,NaN,NaN,NaN
